"Description","Rate","Akt","MA","RasGTP","RRas","pRaf1","Raf1a","Raf1","pMST2","MST2","MST2a","MaF1A","MF1A","RASSF1A","LATS1","LATS1a","MEK","pMEK","ppMEK","ERK","pERK","ppERK","pMpR","MpR","RaMk","RapMk"
"v1a","k1af*RasGTP*pRaf1i-k1ar*RRas",,,-1,1,-1,,,,,,,,,,,,,,,,,,,,
"v1b","k1b*RRas",,,1,-1,,,1,,,,,,,,,,,,,,,,,,
"v2","  (k2a*LATS1a*Raf1)/(Km2a + Raf1) +   (k2b*Kin*Raf1)/(Km2b + Raf1)",,,,,1,,-1,,,,,,,,,,,,,,,,,,
"v3"," (V3*(1 + (Fa*ppERK)/Ka)*Raf1)/  ((1 + ppERK/Ka)*(Km3 + Raf1))",,,,,,1,-1,,,,,,,,,,,,,,,,,,
"v4"," (V4*Raf1a)/(Km4 + Raf1a)",,,,,,-1,1,,,,,,,,,,,,,,,,,,
"v5","  -(k5r*pMpR) + k5f*pMST2*pRaf1",,,,,-1,,,-1,,,,,,,,,,,,,,1,,,
"v6","  -(k6r*MpR) + k6f*MST2*pRaf1",,,,,-1,,,,-1,,,,,,,,,,,,,,1,,
"v7a","k7af*MST2*Akt*(1+kact*RasGTP)-k7ar*MA",-1,1,,,,,,,-1,,,,,,,,,,,,,,,,
"v7b","k7b*MA",1,-1,,,,,,1,,,,,,,,,,,,,,,,,
"v8"," (k8*PP2A*pMST2)/(Km8 + pMST2)",,,,,,,,-1,1,,,,,,,,,,,,,,,,
"v9"," k9*MST2^2",,,,,,,,,-2,2,,,,,,,,,,,,,,,
"v10","  (k10*PP2A*MST2a)/(Km10 + MST2a)",,,,,,,,,1,-1,,,,,,,,,,,,,,,
"v11"," -(k11r*MaF1A) +   k11f*RASSF1A*MST2a",,,,,,,,,,-1,1,,-1,,,,,,,,,,,,
"v12"," -(k12r*MF1A) + k12f*RASSF1A*MST2",,,,,,,,,-1,,,1,-1,,,,,,,,,,,,
"v13","  (V13*MF1A)/(Km13 + MF1A)",,,,,,,,,,,1,-1,,,,,,,,,,,,,
"v14","  (k14b*LATS1*MaF1A)/(Km14b + LATS1) + (k14a*LATS1*MST2a)/   (Km14a + LATS1)",,,,,,,,,,,,,,-1,1,,,,,,,,,,
"v15"," (V15*LATS1a)/(Km15 + LATS1a)",,,,,,,,,,,,,,1,-1,,,,,,,,,,
"v16a","  k16af*MEK*Raf1a - k16ar*RaMk",,,,,,-1,,,,,,,,,,-1,,,,,,,,1,
"v16b"," k16b*RaMk",,,,,,1,,,,,,,,,,,1,,,,,,,-1,
"v17","  (V17*pMEK)/(Km17 + pMEK + (Km17*ppMEK)/Km19)",,,,,,,,,,,,,,,,1,-1,,,,,,,,
"v18a","  k18af*pMEK*Raf1a - k18ar*RapMk",,,,,,-1,,,,,,,,,,,-1,,,,,,,,1
"v18b"," k18b*RapMk",,,,,,1,,,,,,,,,,,,1,,,,,,,-1
"v19","  (V19*ppMEK)/(Km19 + (Km19*pMEK)/Km17 + ppMEK)",,,,,,,,,,,,,,,,,1,-1,,,,,,,
"v20","  (k20*ERK*ppMEK)/(Km20 + ERK + (Km20*pERK)/Km22)",,,,,,,,,,,,,,,,,,,-1,1,,,,,
"v21","  (V21*pERK)/(Km21 + (Km21*ERK)/Ki + pERK + (Km21*ppERK)/Km23)",,,,,,,,,,,,,,,,,,,1,-1,,,,,
"v22","  (k22*pERK*ppMEK)/(Km22 + (Km22*ERK)/Km20 + pERK)",,,,,,,,,,,,,,,,,,,,-1,1,,,,
"v23","  (V23*ppERK)/(Km23 + (Km23*ERK)/Ki + (Km23*pERK)/Km21 + ppERK)",,,,,,,,,,,,,,,,,,,,1,-1,,,,
